name,price
算法书籍4册  labuladong的算法小抄+漫画算法1+2 小灰+算法第一步Python算法工程,225.00
Python速查手册·模块卷（Python3全彩版）模块知识点、学用结合、速查速用,146.30
Head First Python（第二版）,83.50
Python青少年趣味编程 少儿编程 儿童编程（彩印+微课视频讲解）,51.60
labuladong的算法小抄(Python Java C++零基础)(博文视点出品),99.00
Python机器学习+文本数据分析与挖掘+数值计算与模拟,225.30
现货包邮 Python金融大数据挖掘与分析全流程详解 金融数据挖掘 计算机编程书|8062446,62.90
Python在机器学习中的应用,79.80
Python从入门到实践（全彩版）,44.50
Odoo快速入门与实战：Python开发ERP指南,68.20
自然语言处理入门 HanLP作者何晗 NLP书籍Python/Java代码实现人工智能机器学习语音识,71.50
Python程序设计：从基础开发到数据分析（微课版）/21世纪高等学校计算机类课程创新规划教材,62.10
基于Python的智能文本分析,66.00
Python机器学习手册：从数据预处理到深度学习(博文视点出品),89.00
编程入门三剑客：Python+Java+C语言 全程视频版（套装共3册）,226.20
Python程序设计基础（第2版）（计算机系列教材）,44.10
程序员的数学基础课 从理论到Python实践,89.00
Odoo快速入门与实战(Python开发ERP指南),35.24
Python Django开发实战(视频讲解版),48.33
Python自动化编程实战—让繁琐工作自动化（翻译版+视频讲解）,89.80
Python实效编程百例·综合卷（102个实例练习 送全部源码）（Python3全彩版）,69.50
Python金融大数据分析 第2版(异步图书出品),139.00
高等数学――基于Python的实现,45.80
基于Python语言的Selenium自动化测试,59.00
Python计算与编程实践 多媒体方法 第4版(异步图书出品),86.70
从零开始学Python（微课视频版）,89.80
算法实例精讲—Python语言实现,69.80
计算机视觉框架MXNet与Python人脸识别 套装共2册,136.30
PyQt5快速开发与实战 PyQt5教程书籍 qt基础知识 Python Qt 5实战应用开发从入门,48.50
Python核心编程 第3版 英文版(异步图书出品),86.70
基于Python语言的Selenium自动化测试,59.00
【中法图】正版 趣学PYTHON 教孩子学编程 人民邮电青少年少儿童趣味编程零基础入门启蒙书课外读物,43.80
算法四部曲 漫画算法 小灰的算法之旅1+2Python篇+漫画算法2 小灰的算法进阶+算法小抄,225.00
PYTHON3网络爬虫开发实战,73.50
Python编程超级魔卡（Python3全彩版）基础、数据结构应用、模块、内置函数、常见错误、英文术语,25.90
算法图解(图灵出品),36.50
光环大数据 python数据分析可视化ETL解析会公开课程视频学习资料 零基础无门槛入门数据分析课程 数据分析解析会 联系客服老师领取全部资料,3.00
自然语言处理实战 利用Python理解、分析和生成文本,51.50
写给新手的深度学习——用Python学习神经网络和反向传播,89.90
零基础学Python爬虫、数据分析与可视化从入门到精通,65.90
算法入门与进阶：Python语言实现（图解+案例+视频）（套装共2册）,113.00
一步到位！Python数据科学与人工智能应用实战（NumPy、Pandas、Matplotlib、Scikit-learn）数据分析,108.00
现货正版流畅的Python python编程教程 python代码大全 python入门到精通 Py,97.50
Selenium3自动化测试实战――基于Python语言(博文视点出品),69.00
Python计算思维与问题求解,49.00
图解机器学习算法（全彩印刷）,59.40
正版现货 Python编程快速上手:让繁琐工作自动化 从入门到实践,100.00
用 Python 编程和实践！深度学习教科书,99.80
Python数据处理(图灵出品),73.70
Django Web应用开发实战+Django企业 高效Python Web框架指南+项目开发实战 正版 3册,235.00
Python编程从入门到实践第二版 python编程从入门到实战零基础自学教程计算机基础语言数据分析,53.80
笨办法学Python 3：基础篇+进阶篇（京东套装2册）(异步图书出品),118.00
Python项目开发案例集锦（全彩版）数据分析、爬虫、人工智能、游戏开发、Web网站......,111.40
零基础Python学习笔记,54.00
深入大型数据集：并行与分布化Python代码,99.00
对比Excel，轻松学习Python数据分析 ,29.50
Python函数参考手册（全彩版）,34.50
Python语言及其应用(图灵出品),58.80
数据科学入门 第2二版 python数据分析编程从入门大话数据结构与算法分析数据挖掘大,76.00
Python自动化运维快速入门（第2版）,67.20
Python编程从数据分析到机器学习实践（微课视频版）,73.80
Python数据可视化,190.70
Python编程锦囊（全彩版）开发技巧、实战经验、拓展应用,69.50
Python算法从入门到实践（Python3 全彩版）算法讲解、算法流程动画、送源码、送专属魔卡,85.30
Python编程 从入门到实践 第2版(图灵出品) 人民邮电出版社书籍,45.50
现货正版 Python数据分析与挖掘实战[图书]|4894338,69.00
从Excel到Python：用Python轻松处理Excel数据(博文视点出品),79.00
Python Qt GUI与数据可视化编程,69.80
Python函数参考手册（全彩版）,34.50
简明Python教程,20.93
算法第一步（Python版）(博文视点出品),89.00
自然语言处理入门 HanLP作者何晗 NLP书籍Python/Java代码实现人工智能机器学习语音识,71.50
Python程序设计与算法思维,119.90
Python编程入门指南 上下册 Python从入门到精通实践 零基础自学 数据分析 网络爬虫开发,49.80
利用Python进行数据分析  原书第二版 华章图书 O'Reilly精品图书系列,78.50
量化投资/交易四部曲：Python量化交易/零起点 大数据与量化交易/基础搭建投资系统/技术分析实战 正版 全四册,299.00
Python数据分析基础(图灵出品),51.40
用Python学数学,96.20
"拍拍	
【二手99成新】Python编程从入门到实践第2版+编程快速上手+Python极客项目编程【可开电子",76.00
Python 3.6零基础入门与实战,52.40
Python 3.7从零开始学,69.80
Python程序设计基础（原书第4版）,91.90
【包邮】python从入门到精通 python编程从入门到实践自学编程书籍 赠配套视频源代码 python教材,23.80
人工智能数学基础 中国人工智能学会副理事长力荐教材,82.00
Python编程 从入门到实践 人民邮电出版社,58.80
Python 快速入门 第3版(异步图书出品),77.90
Python网络爬虫从入门到实践,79.00
Python游戏编程入门+Python游戏编程快速上手+Python和Pygame游戏开发指南 程序,144.70
父与子的编程之旅:与小卡特一起学Python(第3版)(全彩印刷),87.50
Python与量化投资：从基础到实战(博文视点出品),99.00
Python编程快速上手——让繁琐工作自动化 第2版,34.53
Python函数式编程 第2版(图灵出品),69.20
Python量化交易(博文视点出品),99.00
超好玩的Python少儿编程,85.40
零基础入门Python深度学习,50.90
Python数据挖掘入门与实践 第2版(图灵出品),69.20
Python GUI设计PyQt5从入门到实践（全彩版）,49.00
流畅的Python,69.50
机器学习线性代数基础 PYTHON语言描述,33.50
Python算法教程(异步图书出品),69.00
Python树莓派编程,35.90
Python设计模式 第2版(异步图书出品),34.20
笨办法学Python 3：基础篇+进阶篇（套装2册）,82.50
Python程序设计 第3版(异步图书出品),60.40
你也能看得懂的Python算法书(博文视点出品),59.00
Python编程无师自通 专业程序员的养成(异步图书出品),51.70
Python第三方库开发应用实战(异步图书出品),99.00
深入理解Python特性(图灵出品）,35.70
